Salary ($000s),Years in Majors,Career ERA,Innings Pitched,Career Wins,Career Losses
62.5,2,4.97,23.1,1,2
62.5,14,3.51,55.2,83,68
62.5,2,4.48,105.1,7,8
70,1,5.05,87.1,7,4
70,2,4.27,91.1,5,7
75,1,4.61,121,8,9
75,1,2.89,37.1,3,4
75,1,5.31,120.1,4,7
77.5,2,4.66,82,5,7
80,1,2.5,68.1,7,3
80,1,4.95,112.2,10,10
80,1,3.51,138.1,11,4
80,2,5,198.1,7,12
85,1,4.1,131.2,7,8
85,2,4.53,112.2,7,13
85,1,3.31,130.1,9,5
90,2,4.63,114,7,11
92.5,1,2.51,79,2,4
92.5,1,5.48,157.2,11,9
95,7,3.97,53.1,26,26
100,1,3.65,145.1,11,8
100,3,3.82,122.2,10,13
100,1,2.46,146.1,9,4
107.5,2,4.26,172.1,12,17
110,3,3.56,144,12,6
110,3,4.45,193.2,17,23
110.037,2,3.07,93.2,15,4
115,2,4.2,145.1,9,6
115,2,4.36,202.1,13,14
115,1,4.92,184.2,11,12
120,1,3.58,98,8,6
125,4,3.98,97.1,9,8
125,2,2.68,136,10,12
135,2,4.32,175,17,13
140,1,2.97,91,10,7
140,4,4.47,88,7,11
145,2,3.25,219,17,15
150,22,3.11,176.1,323,229
150,3,3.76,109.1,13,16
150,3,4.28,51,6,5
150,3,3.85,204.2,18,26
150,2,2.23,103.2,12,10
150,4,4.43,198,22,18
155,3,4.17,202.1,19,18
160,3,3.68,252.1,22,18
160,3,3.73,190.1,23,27
165,2,2.45,157,14,9
170,3,3.71,97.2,15,24
170,5,4.09,188.1,17,20
170,6,4.91,216.1,21,45
175,4,4.06,202,30,17
180,2,3.65,96.2,13,9
185,3,3.47,116.2,18,12
190,3,4.15,104.1,13,18
195,2,3.58,141.2,20,14
218,4,3.91,162.1,33,21
225,4,3.54,185.2,28,31
232,2,3.94,246.1,29,22
245,4,2.91,134.1,19,10
280,5,4.31,135,25,35
285,7,4.35,141.2,33,32
287.5,3,3.58,243.1,35,22
290,4,3.72,99.2,16,12
290,5,3.18,173.2,26,20
291,5,3.34,91.1,15,9
292.5,6,3.44,142.2,20,23
295,5,4.59,91.2,38,40
300,4,3.97,97,19,28
300,3,2.58,101,24,11
300,2,3.3,248.1,35,19
300,9,4.09,204.1,61,67
300,10,3.52,78,60,35
305,4,3.98,144,32,42
308,4,3.29,204.1,31,22
325,6,3.6,57.1,7,16
325,4,4.35,159,31,31
350,4,3.99,155,20,20
350,6,4.55,114.2,28,34
350,4,4.35,103.2,37,48
360,10,2.79,44.2,35,32
370,3,4.43,239.1,36,38
370,4,3.5,122.1,35,30
375,6,3.18,92.1,23,28
400,5,4.64,198.2,39,56
400,16,4.03,113.1,151,158
405,5,3.06,78,13,17
410,3,2.91,100.1,16,9
415,6,4.36,84.1,22,44
420,4,3.79,241.2,39,36
425,6,4.46,206,45,38
450,3,3.92,180.2,36,30
470,7,3.67,58.1,20,20
500,3,3.15,254,40,13
500,4,2.89,107.2,22,22
500,5,4.44,266,48,62
500,23,3.27,210.1,311,261
500,6,3.72,129,34,29
500,10,3.75,105.1,66,94
500,7,3.96,161.2,39,40
535,5,3.8,209.1,43,37
540,5,4.19,198,56,59
550,7,3.82,101.1,45,45
550,12,3.86,79,48,48
550,21,3.2,207,310,239
575,5,3.06,161.1,50,43
575,13,3.48,253.2,121,97
600,6,3.71,121,46,50
600,4,3.19,220,42,39
600,5,3.89,217.1,49,45
605,5,3.65,154,54,40
618,11,3.84,245,108,104
620,6,3.42,111.1,22,25
620,9,3.85,69.1,59,63
625,9,3.74,81.2,61,54
625,8,3.8,73.2,62,44
625,2,3.32,4,1,1
625,7,3.83,217.1,62,44
650,7,2.61,56,38,29
662.5,8,3.85,237.2,61,59
662.5,14,3.4,188.1,159,153
666.667,8,3.7,275.1,65,62
700,17,3.55,230.1,131,115
700,7,4.31,174.1,55,54
715,9,3.55,184.2,72,78
725,9,3.94,58.2,46,52
725,6,2.76,80,29,28
725,7,3.36,209.2,49,36
740,3,3.41,156,37,29
750,13,3.62,230,143,116
750,17,3.29,78,88,99
750,12,3.22,68.2,44,52
750,14,3.43,215.2,162,155
775,20,3.5,125.2,213,190
783.333,12,3.67,201,151,128
787.5,6,3.3,136.1,62,46
800,7,3.6,218.1,63,49
800,12,3.12,91.2,141,89
800,4,2.85,231.1,44,25
800,9,3.8,157.2,81,79
800,7,3.01,106.2,58,44
800,13,2.69,110,85,76
805,10,3.76,171,87,105
820,7,2.89,90.1,36,41
825,6,3.27,90.1,42,45
825,8,2.8,89,42,46
830,5,4.38,245.2,63,64
837.5,9,3.31,235.2,100,77
850,10,4.13,219.1,102,116
850,7,3.77,231.1,58,44
850,8,3.34,205,102,92
866.667,9,3.4,169.2,78,69
875,3,3.46,232,32,22
875,8,2.51,81.1,47,42
890,9,3.94,161,74,75
900,8,3.43,244.2,87,73
925,7,2.48,81,44,38
930,10,4.03,165.1,101,117
950,11,3.84,203,136,98
975,8,3.58,116,98,74
1000,8,4.01,197,83,76
1000,15,2.87,64.2,101,89
1000,11,3.44,258,114,118
1000,11,3.64,72.2,36,36
1000,20,3.15,178,253,226
1050,4,3.12,237,44,24
1050,8,3.26,219,85,58
1060,10,3.3,88.2,59,52
1075,10,3.45,82.1,100,76
1150,17,3.08,271.2,229,197
1200,8,3.65,113,53,58
1200,10,3.37,105,94,83
1270,11,3.49,155.1,122,108
1500,3,2.28,250,58,19
1800,10,3.84,176.2,86,68
1850,10,3.58,267,144,94
1850,7,2.94,269.1,99,68
